text,favorite_count,retweet_count,id,score
Some examples of using get() to retrieve an R object by name using a character string:,36,8,968,52
Use skim_tee (in the skimr package) data to inspect data in a  pipe chain:,96,20,967,136
How to deploy R as a service in Azure with Kubernetes and the plumber package,34,10,966,54
How to make color-coded calendars in R:,54,6,965,66
"Just because you *can* redefine built-in functions in R doesn't mean it's a good idea. Avoid function names like c, t, sum etc.",51,7,964,145
"Free book by @ClausWilke: ""Fundamentals of Data Visualization"". R code linked in ""Technical Notes"" section.",146,48,963,242
Keep up with R by reading the R Journal:,53,20,962,321
"Introduction to AzureStor, a package to manage Blob storage, File storage, and Data Lake Storage in Azure",18,4,961,26
"Use library() to see all packages installed, search() to see all packages loaded",67,23,960,223
"In base graphics, use rug() to add a rug representation (1-d plot) of the data to a plot",11,4,959,19
The function dpih() {KernSmooth} uses the direct plug-in methodology to automatically select the bin width of a histogram,21,5,957,31
"Free e-book by @nbrgraphs and @jtrnyc ""Effective Graphs with Microsoft R Open""",43,16,956,75
BBC Visual and Data Journalism cookbook for R graphics,75,24,955,123
"Use mapply to call a multi-argument function repeatedly, e.g. mapply(sample, list(1:56, 1:46), c(5,1))",33,11,954,117
Use unname() to remove the names of an R object,39,9,953,86
Send an R valentine,16,5,952,64
Walkthroughs of data analyses using SQL Server and R under the Team Data Science Process,28,8,951,44
Getting started with Tensorflow Probability from R,58,12,950,82
agnes() (in the cluster package) implements 6 methods of agglomerative clustering,17,5,949,27
"Use saveRDS(obj,""myfile"") and readRDS(obj,""myfile"") to save / read an R object to / from a file",35,9,948,81
"xor(x,y) (element wise exclusive OR) is one of R's logical operators",18,6,947,59
Free hosted Jupyter notebooks with R support: Azure Notebooks,28,8,946,44
Use containers for reproducibility: Introduction to Docker for R users,63,21,945,105
Locate the largest number in a vector with which.max(mydata),28,10,944,48
"If ch is a character vector, then noquote(ch) prints it without the usual quotes surrounding each element",57,7,943,88
How to generate Outlook email notifications from R:,72,14,941,100
"Hydrology Data and Modeling, a CRAN task view listing packages for the analysis of movement, distribution and quality of water and water resources",16,5,940,26
"tail(x, n) shows the last n elements of x if n is positive, all but the first |n| elements if n is negative",26,7,939,42
Get started debugging by adding a browser() call to your function,20,4,938,28
"""How do I?..."": 200 R idioms for common tasks from @sharon000, author of Practical R for Mass Communication and Journalism",147,46,937,239
"A free, 4-week online course for beginners: ""Introduction to R for Data Science""",65,25,936,301
Online help for the ggplot2 graphics package,77,29,935,135
Get financial data and more from Quandl with R,30,9,934,128
"Compute or estimate the condition number of a matrix: 
kappa(M)",18,6,933,35
"Got duration data, but some of the events are incomplete? Fit a Cox Proportional Hazards Regression Model with the coxph() function in the survival package",33,9,932,51
How to use R in an Azure VM with Microsoft ML Server:,21,5,931,31
"Lightweight, dependency-free package for installing R packages from Github, etc: remotes",24,3,930,30
"Calculate running 30-day means of daily values in vector x: filter(x,rep(1/30,30))",51,15,929,81
"Leave out the mth column of a data frame: 
dF[,-m]",24,6,928,84
Use clusterboot() in the fpc package to help assess the stability of cluster classifications,27,7,927,41
An architecture for deploying real-time predictive models trained with R:,28,8,926,44
This vignette for the showtext package explains how to display non-standard fonts in R graphics,28,8,925,44
"Use setdiff(x,y) to find the values that appear in x but not in y",122,27,924,176
"Introduction to Empirical Bayes: Examples from Baseball Statistics, a name-your-own-price book by @drob",54,24,923,102
A suite of R packages for quantitative risk management in finance:,48,15,922,78
New YeaR's resolution: Join a local R user group:,56,14,920,110
Try demo('graphics') ... and type demo() to see other demos available in attached packages,22,4,919,81
"write.matrix(M) in the built-in ""MASS"" package will print out a matrix, M, without the row and column index labels",40,13,918,66
"getOption(""defaultPackages"") lists the packages (in addition to base) loaded at startup",45,6,917,57
Plot sample with error bars and color coded legend,45,9,915,157
"The official ""Introduction to R"" manual, updated with every R release",95,39,914,173
"rle(x) (""run-length encoding"") computes the lengths of runs of equal values in a vector",10,2,913,14
Tutorial: Run a parallel R simulation in an Azure cluster with the doAzureParallel package,35,14,912,63
"To select a column from a matrix and keep it as a column matrix, not a vector: X[,1,drop=FALSE]",56,19,911,201
How to generate random numbers in R:,30,13,910,221
The scan() function is useful for reading short sequences of data into a vector or list from the console or from a file,27,11,909,49
Index of datasets included with R,27,10,908,202
"Introduction to AzureRMR, a package for managing Azure resources from R",37,8,907,53
"Use readr::parse_datetime to convert text representations of dates and times (e.g. ""4:30 PM"") to a POSIXct vector",48,11,906,70
"The ""round"" function uses the ""round-to-even"" rule. round(3.5) and round(4.5) are both 4",50,15,905,213
Find the smallest positive floating-point number x such 1 + x != 1 on your computer with the variable .Machine,9,1,904,11
"Free text: ""Practical Regression and ANOVA with R"":",69,23,903,115
RTVS is a free extension for Visual Studio for R programming and debugging,16,3,902,53
"If you want to create animated charts, check out this overview of the gganimate package with lots of examples",135,40,901,215
Guidance for use of  in regulated clinical trial environments (incl. for FDA):,24,10,900,90
Use any() and all() to test if any or all of a vector of logical conditions are true,33,12,899,57
Look at under help(par) for options you can use to customize plot(),20,4,898,28
How to set up a data science client for R development on SQL Server:,26,5,897,36
A guide to making a reproducible data science environment with R and Docker,52,17,896,86
"Introduction to Rcpp, an R module for integrating C and C++ code:",31,5,895,53
"Hands-On Programming with R, a book to teach programming in R by @StatGarrett, available in its entirety at",228,102,894,432
"Thanks to the R Core Group, for volunteering their time and expertise to create, improve and support R",92,16,893,258
"Use checkpoint(""2018-11-21"") to make the current project always use today's package versions from now on",61,14,892,89
"Some  Linear Algebra: For a matrix M, Null(M) {MASS package} finds a matrix giving a basis for the left null space",15,4,889,23
How to run RStudio on Azure Databricks,19,0,887,19
"Chromebook Data Science, a free course on Data Science with R from the Johns Hopkins Data Science lab",58,18,886,94
Use the || and && operators when working with scalar booleans; use | and & when working with vectors,44,14,885,164
Tutorial: Analysis of Variance (ANOVA) for comparing the means,66,22,884,277
Want to fit a generalized additive model to a large data set? Try the bam() function in the mgcv package,38,8,883,87
How to connect to Azure Databricks from R,13,5,882,23
"The fs package provides a unified, consistent, and cross-platform set of function for interacting with files and directories in R:",62,16,881,94
"Info on getting data from databases, spreadsheets, binary files and APIs into , from the official R data import/export manual:",50,19,880,88
"nchar(string) finds the length of a string, whereas length(string) finds the length of the vector containing the string(s)",34,9,879,52
How to schedule R jobs as batch tasks with Microsoft ML Server,14,6,877,26
"Get docker containers with specific versions of R, RStudio, tidyverse and more from the rocker project",27,5,876,37
rm(list=ls()) will remove almost everything from your working environment. Be careful! Be sure!,49,16,875,134
"Use ""gnls"" in the nlme package to fit a nonlinear model using generalized least squares",34,10,874,54
Robust function writing tip: use seq_len(N) instead of 1:N (it handles the N<1 case appropriately),56,21,873,330
"RT @MikeKSmith Looking for older versions of R packages, but don’t want to have to compile from source? You need the MRAN TimeMachine:",23,7,872,37
"The R source code is made up of 32% C, 24% Fortran, and 37% R. You can find a read-only mirror of the sources on Github at",55,11,871,77
Use the SAScii package to run an existing SAS script for importing ASCII data into R -- without needing SAS:,11,2,870,15
"If you are using R and think you're in hell, this is a map for you. ""The R Inferno"", a classic by @burnsstat:",85,22,869,129
"Add row sums, column sums and grand total to a table with addmargins(my.table)  htt",71,14,868,99
How to manage R packages in Microsoft ML Server,12,3,867,18
anova(model) will compute and print Analysis of Variance tables for models fitted with lm() and glm().,34,11,866,56
List of R packages and functions for Cluster Analysis & Finite Mixture Models:,41,11,865,190
"Type ?""?"" or ?Question at the command line to get help with help in R",16,2,864,20
Online Pluralsight course presented by @_StaciaV_: Getting Started with R in the Microsoft Data Platform,11,2,862,15
List of R packages and functions for high-performance and parallel computing with R:,59,20,861,278
"Use xtabs(formula,data) {stats} to create a contingency table from cross-classifying factors",37,10,860,109
"Train support vector machines with the ""svm"" function from the e1071 package:",15,0,859,36
"List of 100+ probability distributions (densities, quantiles, simulation) supported in R:",75,26,858,405
"How to call R functions via a RESTful API, at scale, with Microsoft ML Server",22,3,857,28
Use the gganimate package to create smooth animations with ggplot2,93,38,856,169
"The behaviour of diag() depends on the length of its argument: diag(5) construct the 5x5 identity matrix, but diag(1:5) places 1:5 on the diagonal",21,10,855,41
Got time to kill waiting for an R computation? Play games like Tetris and Pacman in RStudio with Rcade,91,30,854,151
"How to include non-standard fonts (Chinese, Cyrillic, CM Math etc) in PDF/Postscript charts:  (p41)",19,7,853,100
"R developer's guide to Azure, documentation for Azure services supporting R",22,5,852,32
"Basic R syntax gotchas, from aRrgh: a newcomer’s (angry) guide to R",43,16,851,75
"options(stringsAsFactors=FALSE) forces R to import character data as character objects, but avoid the temptation to add it to your .Rprofile file: your code may not work for others if you do",51,13,850,77
Show a progress bar for in R console only when running interactively: if(interactive) {pb <- txtProgressBar(…)},53,16,849,85
"A list of free courses, books, tutorials and cheat sheets for R",527,237,848,1001
How to publish R functions as Web services with Microsoft ML Server,25,5,846,35
"Use the ""shiny"" package to easily create web-based applications with R. Get started with video and written tutorials at",85,30,845,145
The arules package provides functions for mining itemsets and discovering association rules,23,4,844,52
Add a zero imaginary part to a number for complex arguments. sqrt(-1) returns NaN; sqrt(-1+0i) returns 1i,34,5,843,83
inSide() {mgcv} may help you determine if points are inside a boundary.,31,7,842,59
"To get the very latest versions of R packages with Microsoft R Open, run chooseCRANmirror() before calling install.packages",35,7,841,49
"Export a data frame to Excel with the writexl package: write_xlsx(mydata, ""mydata.xlsx"")",61,26,840,113
Run-length encoding: count the number of times sequential repeats appear with rle(x),24,6,839,36
"Search R-help mailing list archives, help pages, vignettes and task views with RSiteSearch(""keyword"")",18,9,838,36
"Packages for importing financial, sports and weather data into R",137,43,837,223
Tutorial: Use RevoScaleR R functions with SQL Server data,7,1,836,9
List of R functions and packages related to internet technologies and services,41,21,834,83
Five ways to subscript data in R,33,7,832,102
"Review and update selected packages to the latest version: update.packages(ask=""graphics"")",21,7,831,35
"Installing R Packages in SQL Server ML Services, a tutorial series by @nielsberglund",17,2,830,21
"How to install R with multi-core acceleration, RStudio and tidyverse on Windows, Mac and Ubuntu",95,21,829,137
"In base graphics, change the direction of plot axis labels with las.  
  plot(x,y,las=2)  
makes all labels perpendicular to the axis",57,16,828,89
Need to put R output in a book or paper? Use options(width=60) to limit output to a narrow column.,96,18,827,401
"Get the upper triangular elements of a matrix: M[upper.tri(M,diag=TRUE)]",21,5,826,86
"A list of companies, officials and NGOs using R, curated by @jumpingrivers",31,14,825,59
"Use the xtable package to convert a table or matrix to HTML: print(xtable(X), type=""html"")",64,24,824,272
"Use the lubridate package to easily manipulate dates, times and time zones",44,12,823,148
Advanced documentation on how S4 methods work in R,26,7,822,40
Tutorial: Learn in-database analytics using R in SQL Server,50,17,821,84
The list of R operators:,49,18,819,85
Use apropos() to find a function or variable when you can only remember part of its name,92,40,818,172
Compute a kernel density estimate of a variable's distribution with density(x),19,6,817,31
How to use R packages with the online Power BI service,22,11,816,44
Count the number of rows in a data frame that have missing values with sum(!complete.cases(dF)),111,25,815,161
"Print numbers as currency in a 6-character wide field: sprintf(""$%6.2f"",mean(LifeCycleSavings$sr))",30,7,814,77
"If two packages define functions with the same name, use :: to call the one you want:",53,20,695,208
"If two packages define functions with the same name, use :: to call the one you want:",53,20,813,208
"Open data sets, curated by Microsoft Research for computer vision, NLP and scientific analysis, available for download from",67,25,811,117
"""Learning Statistics with R"", course notes for teaching R to Psychology students by @djnavarro",143,56,810,255
List of R packages for the analysis of medical images:,46,27,809,195
deviance(fit) returns the deviance of a fitted model object,19,11,808,41
"Handling Strings with R, a free e-book:",90,41,807,172
How to use R to create custom visualizations in Power BI Service,34,9,806,52
Use str(obj) to display the components of any object in human-readable format,28,14,805,141
"Use ""deriv"" to create a function that returns the derivative and hessian of an algebraic expression:",38,14,804,66
"Use 'substitute' to include the variable's name in a plot title, e.g.: hist(var,main=substitute(paste(""Dist of "", var)))",69,16,803,101
alias(lm_object) will find linearly dependent terms in analysis of variance models,30,5,802,40
"The Data Science Virtual Machine is an Azure instance preinstalled with Microsoft R, Rstudio, Rattle, Tensorflow and more:",35,19,801,73
Use sample_n (in the dplyr package) to select random rows from a data frame or tbl,78,28,800,134
Comparing floating-point numbers with == is unwise. Use all.equal to avoid errors from rounding:,83,27,476,525
Comparing floating-point numbers with == is unwise. Use all.equal to avoid errors from rounding:,83,27,799,525
"tapply(x, groups) applies a function to each non-empty group in a ""ragged"" array. Example:",33,8,798,49
Over 750 people who blog about R,15,4,797,76
A %x% B calculates the kronecker product of matrices A and B,28,10,796,90
Side by side comparisons of analysis tasks done in SAS and R:,30,14,794,162
"Efficiency tip: When selecting from a data frame, df$a[1] is much faster than df[1,""a""]",163,53,793,519
Free self-paced edX course: Analyzing Big Data with Microsoft R Server,42,10,792,144
Extract data from tables in PDF documents with the pdftools package,173,56,790,285
"Display information about your R session including R version, platform and attached packages with sessionInfo()",39,7,789,53
"SQL Server 2017 Machine Learning Services with R, an e-book by @tomaz_tsql and @MsSQLGirl by",30,11,788,52
Meet other R users at a local R user group in your area:,37,16,787,130
ESS (Emacs Speaks Statistics) is a popular add-on for working with R inside Emacs,14,4,786,87
Tutorials on various machine learning and statistical forecasting techniques in the @UC_Rstats Business Analytics R Programming Guide,107,36,785,179
"For rpart classification trees, residuals(fit,type=""deviance"") returns the deviance residuals",14,7,784,67
Run an R script from the command line in batch mode with R CMD BATCH:,31,7,783,96
"Format numbers ""v"" as currency, like $2,101,944: 
gsub(""^ *"",""$"",prettyNum(v, big.mark="",""))",40,9,782,136
if(isTRUE(condition)) may be preferable to if(condition),85,25,780,135
"An online Introduction to R with some R history, linear models, glm and more",115,35,779,413
The number of people you need to gather for a 95% probability of at least one shared birthday: qbirthday(0.95),57,18,778,93
"seq(n1,n2,m) will generate a sequence of numbers from n1 to n2 counting by m  #stats",27,8,777,43
na.omit(df) returns all rows of a data frame except those containing any missing values,84,18,776,120
"A list of over 1,000 datasets available in R packages, curated by @VincentAB (via @mf_viz)",99,38,775,175
"Explanations of lexical scope, function closures and environments in R:",27,6,774,39
CrossTable() in {gmodels} produces crosstabulations modeled after SAS's PROC FREQ,38,4,773,76
"To speed up your R code, use Rprof() to turn on profiling, and summaryRprof() to find the slow parts:",128,32,772,568
The @Rstudio cheat sheet for data visualization with ggplot2 (PDF):,112,39,771,386
"When reading data from files, R will accept ""infinity"", ""inf"" and ""nan"" as a valid numeric values",41,14,770,69
"Calculate the differences between every nth value of a vector x with diff(x,n)",40,13,769,134
Convenience features of the fread function in the data.table package for reading small and large data sets into R,43,12,768,67
"auto.arima() {forecast} will return the best ARIMA fit to a time series using the AIC, AICc or BIC criterion",68,25,767,215
"You can use hexadecimal numbers in R by starting with 0x, eg 0xDEADBEEF",12,4,766,47
Use unlist() to flatten out a list of lists into a single vector:,28,11,765,117
Syntax for mathematical annotation in R:,44,13,764,70
Publish R functions to the cloud as a Web service with the AzureML package,24,8,762,85
Use the SASxport package to read/write data in the XPORT file format (req by FDA for clinical submissions),14,1,761,40
List of R packages for data access and scientific analysis developed by @ROpenSci,62,25,760,251
"Object names in R usually contain letters, numbers, periods and underscores, but other names are possible:",17,6,759,65
"Find out what files are in your working directory with dir(), also list.files()",35,7,758,106
You can create a local library by setting R_LIBS_USER in your .Renviron configuration file,28,2,757,67
How to add interactive R-based visualizations to Power BI,33,13,756,59
Posting guide for the official R mailing lists: How to ask good questions that prompt useful answers,21,9,755,39
Create perceptive color-blind-safe scales for heatmap charts with the viridis package,34,9,754,132
"In R scripts, use invisible() to prevent functions from generating unwanted output:",51,14,753,265
"Benchmark how long it takes R code to run with system.time({ expr }). The ""elapsed"" value is usually the most relevant.",42,11,752,64
"By launching the RStudio Server service on the Ubuntu Data Science Virtual Machine, you can log in and access R and the terminal from your browser",21,8,751,37
An overview of the new ALTREP representation of objects in R 3.5.0 and later,8,5,750,18
"match(x,y) returns a vector of the positions of 1st matches of x in y:",57,11,749,79
"Get the set of distinct values in a vector, x, with unique(x)",30,9,748,48
Use the ratelimitr package on CRAN to slow down requests to rate-limited APIs:,29,11,747,51
Microsoft R Open links  with multi-threaded libraries for faster performance:,18,6,746,30
"Forgot to save the output from the last R command? Retrieve it with
 
v <- .Last.value",234,65,745,364
You can use the Rcpp package to convert simple R loops into fast C++ code:,58,16,744,182
"In a ""for"" loop — for(var in seq) expr — seq can be *any* vector. e.g. seq <- c(100,12,1000)",27,9,743,45
Package TTR contains EMA() (exponential moving average) and 8 other moving average functions,32,8,742,91
"A free, 80-page excerpt of the book ""R for SAS and SPSS"" users , by @BobMuenchen",35,22,741,79
"Download R from (and set your CRAN mirror to)  It automatically chooses a fast, nearby mirror for you.",33,11,740,118
"An overview of R formulas for statistical models, from the National Park Service",58,16,739,90
"format(x, scientific=TRUE) prints numeric data in exponential format, so 0.0001 prints as 1e-04",61,11,738,194
How to launch a container with R using Azure Container Instances,19,6,736,31
"Use the ""beep"" function (in the beepr package) to make R play a sound when a long computation finishes",172,45,735,262
Use textConnection() to import data that's already stored in an R character object (rather than a file):,29,6,734,41
"Many functions, like ""plot"", are generic. Use methods(plot) to see all the object types that can be visualized",54,17,733,112
Can't find a package binary on CRAN? Check its build status on all platforms here:,8,4,732,16
"SQL Server R tutorials: Data science deep dive, and in-database R",61,27,731,115
"Normalize accented words to their plain ASCII equivalents with the stringi package: stri_trans_general(""Lützowstraße"",""latin-ascii"") becomes Lutzowstrasse",50,13,730,76
"Use head() to quickly check the first few rows/elements of a large data frame, vector, list, etc.",18,11,729,88
Try data.table as a substitute for data frames when working with big data,53,17,728,258
"The paste0 function concatenates strings back-to-back, without any separating characters",41,11,727,165
R extension for Visual Studio @code,26,4,726,34
Convert character strings to their all-lower-case equivalents with tolower,23,7,725,37
"Print a human-readable version of a matrix: write.table(format(X), row.names=F, col.names=F, quote=F)",41,14,723,180
Extracting data from PDF graphics with . Vector Image Processing  (PDF),149,58,722,265
Tips on computing with big data in R,62,19,721,100
"Text Mining with R, a book by @juliasilge and @drob",100,33,720,166
Know the difference between complete.cases() and na.omit() when handling missing values in data frames,87,27,719,141
Check which packages you have installed with row.names(installed.packages()),70,24,718,118
"A list of R's base and recommended packages, and the extra packages bundled with Microsoft R Open",22,4,717,30
"vcov(obj) returns the variance-covariance matrix for the parameters of lm, glm, nls, lme and several other model types",44,11,716,66
Functions and packages for model deployment with R: a CRAN Task View,5,4,715,13
"abbreviate(x,n) returns readable and unique abbreviations of the strings in x, of length n or more",94,14,714,122
"You can use single-quotes to delimit a string. Handy for including double-quotes, 'like ""this"" trick'",37,8,713,53
"How to build a local subset of CRAN, and access R packages behind a corporate firewall",20,7,712,34
"The Rmpfr package provides arbitrary-precision floating point calculations in R. Here's π with 3321 bits of precision Pi <- Const(""pi"", 1000 *log2(10))",24,10,711,44
"""R for data science"", a book on tidy data analysis by @hadleywickham and @StatGarrett",116,52,710,220
"Check out CRAN Task Views for curated lists of R packages by topic area (Bayesian, Finance, Web Technologies etc)",32,14,709,60
"""One-hot encoding"" in R: model.matrix converts factors into binary indicator columns in a matrix:",48,17,708,82
"Avoid namespace clashes! Use :: to specify an object within a specific package, e.g. MASS::mvnorm",21,6,707,107
"Microsoft R Open installs packages from an static CRAN archive by default. Get the latest with install.packages(""thepackage"", repos="" or just change the default CRAN repository.",21,9,706,39
"sample(vec, n) will randomly select elements n elements from a vector",31,14,705,89
"Determine whether two integers m and n are relatively prime or coprime with coprime(m,n)",20,3,703,35
Get a quick overview of a data set with the skimr package,63,23,702,109
"A five-minute explanation of tidy evaluation in R, from @hadleywickham",68,27,701,122
"cummax(x) returns a vector whose ith element is the maximum of the first i elements of x. cf cumsum, cumprod",36,9,700,121
Be aware: the $ operator uses partial matching. mylist$el returns the contents of mylist$element if there's no exact match,52,10,699,72
R Markdown Cheat Sheet,77,24,698,125
"You can compute row sums of a matrix M with apply(M, 1, sum) ... but rowSums(x) is faster",39,9,697,57
"List of R functions and packages for graphic displays, dynamic graphics, graphic devices and visualization:",76,19,694,147
"return() is a function, so there must be parentheses around the value being returned",22,4,693,30
A curated list of some recently-released and updated R packages:,29,10,692,49
"Cheer yourself up in R with getXKCD(which=""random"",html=TRUE)",63,25,691,113
"find() tells what package a function came from. e.g. find(""find"")",75,16,690,185
"Read SAS, SPSS and Stata data files into R with the haven package",56,24,689,104
"Use methods(class='lm') to list all the special operations available on ""lm"" regression objects",57,19,688,248
Use sink() to direct R's output to a file,58,25,687,174
A Field Guide to the R Ecosystem:,40,12,685,64
Get eigenvalues and eigenvectors in R with eigen(mymatrix),42,21,684,148
"RStudio: a complete, open-source interactive development environment for R",17,7,683,31
The Quick-R guide to Resampling Statistics in R:,41,20,682,173
Find curated Docker images for R-based workloads at  and see this R Journal article for more background:,37,9,680,55
"Don't know the full name of a function? Perform a fuzzy search with the apropos function: apropos(""summary"")",46,11,679,117
library(oz); oz() creates a map of Australia,25,7,678,39
range(x) returns the minimum and maximum values of x,45,11,676,67
"A ten-hour video introduction to R, presented by @rdpeng",151,42,675,445
The %>% operator from the magrittr package pipes data from function to function for more readable R code,69,17,674,228
Use jitter(x) to add some noise to your data. Very useful for dealing with overplotting in scatterplots.,68,19,673,106
"Use the diffobj package to compare the results of analysis outputs, for reproducibility",40,13,672,66
How to run R in the Windows Subsystem for Linux,45,29,671,103
Fit a nonlinear mixed-effects model with the nlme package,60,23,670,106
"head(x, n) shows the first n elements of x; head(x, -n) shows all but the last n elements",43,13,669,69
"Use the Matrix package for efficient linear algebra with sparse, symmetric, positive semidefinite and general matrices",32,10,668,52
Detect human tampering with numerical data. Check the digits follow Benford's Law:,57,22,667,101
"Schedule an R function to run sometime in the future with the ""later"" package",83,24,666,131
Regular expressions in R   (by @johndcook),53,5,665,183
The Cauchy distribution has no Expectation! Use rcauchy() to generate pseudorandom samples  #stats,25,6,664,69
Use the animation package to create videos and animated GIFs from R graphics,100,31,663,162
Support the R project by making a donation to the R Foundation @_R_Foundation,16,13,661,42
"You can plot a function object to create a chart of its equation, e.g. plot(dnorm, xlim=c(-4,4))",67,15,660,206
Improve your R coding skills with Advanced R Programming by @hadleywickham,143,45,659,233
is.na() tests for missing (NA) values. is.null() tests for NULL values.,76,25,658,164
The Box-Cox transformation is a useful technique for transforming data to be more Normal,95,35,657,165
